				node_types		node_column
				biolink:Protein		ENSP00000348565
				biolink:Gene		ENSG00000130119
				biolink:Protein		ENSP00000338573
				biolink:Protein		ENSP00000430598
				biolink:Gene		ENSG00000243725
				biolink:Protein		ENSP00000360329
				biolink:Gene		ENSG00000189091
				biolink:Protein		ENSP00000305790
				biolink:Gene		ENSG00000141338
				biolink:Protein		ENSP00000467271
				biolink:Gene		ENSG00000117592
				biolink:Protein		ENSP00000342026
				biolink:Protein		ENSP00000480893
				biolink:Gene		ENSG00000138750
				biolink:Protein		ENSP00000264883
				biolink:Gene		ENSG00000149380
				biolink:Protein		ENSP00000401749
				biolink:Gene		ENSG00000119138
				biolink:Protein		ENSP00000366330
				biolink:Gene		ENSG00000163131
				biolink:Protein		ENSP00000357981
				biolink:Gene		ENSG00000278139
				biolink:Protein		ENSP00000439913
				biolink:Gene		ENSG00000166266
				biolink:Protein		ENSP00000376808
				biolink:Gene		ENSG00000127412
				biolink:Protein		ENSP00000265310
				biolink:Gene		ENSG00000135766
				biolink:Protein		ENSP00000355601
				biolink:Gene		ENSG00000151962
				biolink:Protein		ENSP00000281722
				biolink:Gene		ENSG00000180934
				biolink:Protein		ENSP00000321246
				biolink:Gene		ENSG00000100024
				biolink:Protein		ENSP00000324343
				biolink:Gene		ENSG00000240344
				biolink:Protein		ENSP00000286175
				biolink:Protein		ENSP00000442308
				biolink:Gene		ENSG00000118260
				biolink:Protein		ENSP00000387699
				biolink:Gene		ENSG00000116161
				biolink:Protein		ENSP00000356652
				biolink:Gene		ENSG00000185518
				biolink:Protein		ENSP00000377779
				biolink:Gene		ENSG00000147166
				biolink:Protein		ENSP00000362935
				biolink:Gene		ENSG00000137975
				biolink:Protein		ENSP00000359596
				biolink:Gene		ENSG00000116750
				biolink:Protein		ENSP00000356425
				biolink:Gene		ENSG00000172137
				biolink:Protein		ENSP00000307508
				biolink:Gene		ENSG00000135355
				biolink:Protein		ENSP00000358358
				biolink:Gene		ENSG00000235173
				biolink:Protein		ENSP00000321320
				biolink:Gene		ENSG00000144583
				biolink:Protein		ENSP00000273067
				biolink:Gene		ENSG00000106348
				biolink:Protein		ENSP00000345096
				biolink:Gene		ENSG00000215277
				biolink:Protein		ENSP00000382794
				biolink:Gene		ENSG00000187144
				biolink:Protein		ENSP00000335612
				biolink:Gene		ENSG00000177697
				biolink:Protein		ENSP00000380565
				biolink:Gene		ENSG00000138448
				biolink:Protein		ENSP00000261023
				biolink:Gene		ENSG00000182628
				biolink:Protein		ENSP00000333433
				biolink:Gene		ENSG00000111224
				biolink:Protein		ENSP00000228820
				biolink:Gene		ENSG00000273540
				biolink:Protein		ENSP00000413001
				biolink:Gene		ENSG00000158882
				biolink:Protein		ENSP00000356967
				biolink:Gene		ENSG00000139668
				biolink:Protein		ENSP00000298125
				biolink:Gene		ENSG00000163501
				biolink:Protein		ENSP00000295731
				biolink:Gene		ENSG00000215375
				biolink:Protein		ENSP00000383023
				biolink:Gene		ENSG00000142507
				biolink:Protein		ENSP00000270586
				biolink:Gene		ENSG00000165916
				biolink:Protein		ENSP00000481029
				biolink:Gene		ENSG00000169271
				biolink:Protein		ENSP00000303394
				biolink:Gene		ENSG00000063244
				biolink:Protein		ENSP00000307863
				biolink:Gene		ENSG00000167751
				biolink:Protein		ENSP00000313581
				biolink:Gene		ENSG00000011465
				biolink:Protein		ENSP00000052754
				biolink:Gene		ENSG00000150093
				biolink:Protein		ENSP00000379350
				biolink:Gene		ENSG00000039123
				biolink:Protein		ENSP00000230640
				biolink:Gene		ENSG00000108231
				biolink:Protein		ENSP00000360472
				biolink:Gene		ENSG00000141977
				biolink:Protein		ENSP00000269878
				biolink:Gene		ENSG00000165475
				biolink:Protein		ENSP00000298248
				biolink:Gene		ENSG00000185345
				biolink:Protein		ENSP00000355865
				biolink:Protein		ENSP00000376946
				biolink:Gene		ENSG00000174827
				biolink:Protein		ENSP00000394485
				biolink:Gene		ENSG00000198626
				biolink:Protein		ENSP00000355533
				biolink:Gene		ENSG00000275464
				biolink:Protein		ENSP00000482107
				biolink:Gene		ENSG00000136425
				biolink:Protein		ENSP00000258930
				biolink:Gene		ENSG00000143727
				biolink:Protein		ENSP00000272067
				biolink:Gene		ENSG00000172346
				biolink:Protein		ENSP00000302485
				biolink:Gene		ENSG00000106113
				biolink:Protein		ENSP00000340943
				biolink:Gene		ENSG00000262814
				biolink:Protein		ENSP00000333837
				biolink:Gene		ENSG00000100362
				biolink:Protein		ENSP00000216200
				biolink:Gene		ENSG00000127884
				biolink:Protein		ENSP00000357535
				biolink:Gene		ENSG00000106263
				biolink:Protein		ENSP00000354125
				biolink:Gene		ENSG00000138668
				biolink:Protein		ENSP00000313199
				biolink:Gene		ENSG00000110801
				biolink:Protein		ENSP00000440485
				biolink:Gene		ENSG00000130305
				biolink:Protein		ENSP00000309126
				biolink:Gene		ENSG00000088247
				biolink:Protein		ENSP00000381216
				biolink:Gene		ENSG00000036672
				biolink:Protein		ENSP00000260187
				biolink:Gene		ENSG00000113312
				biolink:Protein		ENSP00000231238
				biolink:Gene		ENSG00000100324
				biolink:Protein		ENSP00000216160
				biolink:Gene		ENSG00000144381
				biolink:Protein		ENSP00000373620
				biolink:Gene		ENSG00000160818
				biolink:Protein		ENSP00000396441
				biolink:Gene		ENSG00000049656
				biolink:Protein		ENSP00000313854
				biolink:Gene		ENSG00000148843
				biolink:Protein		ENSP00000358812
				biolink:Protein		ENSP00000225573
				biolink:Gene		ENSG00000142156
				biolink:Protein		ENSP00000355180
				biolink:Gene		ENSG00000166226
				biolink:Protein		ENSP00000299300
				biolink:Gene		ENSG00000144810
				biolink:Protein		ENSP00000261037
				biolink:Gene		ENSG00000137168
				biolink:Protein		ENSP00000362803
				biolink:Gene		ENSG00000154265
				biolink:Protein		ENSP00000376443
				biolink:Gene		ENSG00000106366
				biolink:Protein		ENSP00000223095
				biolink:Gene		ENSG00000108604
				biolink:Protein		ENSP00000392617
				biolink:Gene		ENSG00000135930
				biolink:Protein		ENSP00000258416
				biolink:Gene		ENSG00000078687
				biolink:Protein		ENSP00000336783
				biolink:Gene		ENSG00000116741
				biolink:Protein		ENSP00000235382
				biolink:Gene		ENSG00000111602
				biolink:Protein		ENSP00000450607
				biolink:Gene		ENSG00000170584
				biolink:Protein		ENSP00000304854
				biolink:Protein		ENSP00000216330
				biolink:Gene		ENSG00000151320
				biolink:Protein		ENSP00000280979
				biolink:Gene		ENSG00000101017
				biolink:Protein		ENSP00000361359
				biolink:Gene		ENSG00000099377
				biolink:Protein		ENSP00000297679
				biolink:Gene		ENSG00000125084
				biolink:Protein		ENSP00000293549
				biolink:Gene		ENSG00000119616
				biolink:Protein		ENSP00000344393
				biolink:Protein		ENSP00000215071
				biolink:Gene		ENSG00000142453
				biolink:Protein		ENSP00000325690
				biolink:Gene		ENSG00000125629
				biolink:Protein		ENSP00000245787
				biolink:Gene		ENSG00000118680
				biolink:Protein		ENSP00000463559
				biolink:Gene		ENSG00000139192
				biolink:Protein		ENSP00000266556
				biolink:Gene		ENSG00000196218
				biolink:Protein		ENSP00000352608
				biolink:Gene		ENSG00000140332
				biolink:Protein		ENSP00000452871
				biolink:Gene		ENSG00000088992
				biolink:Protein		ENSP00000334785
				biolink:Gene		ENSG00000159593
				biolink:Protein		ENSP00000351990
				biolink:Protein		ENSP00000476221
				biolink:Gene		ENSG00000141161
				biolink:Protein		ENSP00000268876
				biolink:Gene		ENSG00000160208
				biolink:Protein		ENSP00000339145
				biolink:Gene		ENSG00000102309
				biolink:Protein		ENSP00000362773
				biolink:Gene		ENSG00000170323
				biolink:Protein		ENSP00000256104
				biolink:Gene		ENSG00000055130
				biolink:Protein		ENSP00000326804
				biolink:Gene		ENSG00000148156
				biolink:Protein		ENSP00000363799
				biolink:Gene		ENSG00000138119
				biolink:Protein		ENSP00000352208
				biolink:Gene		ENSG00000128050
				biolink:Protein		ENSP00000382595
				biolink:Gene		ENSG00000168496
				biolink:Protein		ENSP00000305480
				biolink:Gene		ENSG00000105849
				biolink:Protein		ENSP00000222567
				biolink:Gene		ENSG00000113318
				biolink:Protein		ENSP00000265081
				biolink:Gene		ENSG00000116983
				biolink:Protein		ENSP00000361935
				biolink:Gene		ENSG00000168028
				biolink:Protein		ENSP00000346067
				biolink:Gene		ENSG00000145736
				biolink:Protein		ENSP00000328901
				biolink:Gene		ENSG00000167210
				biolink:Protein		ENSP00000300591
				biolink:Gene		ENSG00000005339
				biolink:Protein		ENSP00000262367
				biolink:Gene		ENSG00000167721
				biolink:Protein		ENSP00000301364
				biolink:Gene		ENSG00000277893
				biolink:Protein		ENSP00000477587
				biolink:Gene		ENSG00000203965
				biolink:Protein		ENSP00000360129
				biolink:Gene		ENSG00000061936
				biolink:Protein		ENSP00000437738
				biolink:Gene		ENSG00000129347
				biolink:Protein		ENSP00000320917
				biolink:Gene		ENSG00000065427
				biolink:Protein		ENSP00000325448
				biolink:Gene		ENSG00000197444
				biolink:Protein		ENSP00000363216
				biolink:Gene		ENSG00000100023
				biolink:Protein		ENSP00000334553
				biolink:Gene		ENSG00000130204
				biolink:Protein		ENSP00000410339
				biolink:Gene		ENSG00000120694
				biolink:Protein		ENSP00000318687
				biolink:Gene		ENSG00000185627
				biolink:Protein		ENSP00000396937
				biolink:Gene		ENSG00000213741
				biolink:Protein		ENSP00000379339
				biolink:Gene		ENSG00000123374
				biolink:Protein		ENSP00000266970
				biolink:Gene		ENSG00000185129
				biolink:Protein		ENSP00000332706
				biolink:Gene		ENSG00000096384
				biolink:Protein		ENSP00000360609
				biolink:Gene		ENSG00000143106
				biolink:Protein		ENSP00000271308
				biolink:Gene		ENSG00000124151
				biolink:Protein		ENSP00000361066
				biolink:Gene		ENSG00000142864
				biolink:Protein		ENSP00000360034
				biolink:Gene		ENSG00000142230
				biolink:Protein		ENSP00000270225
				biolink:Gene		ENSG00000103035
				biolink:Protein		ENSP00000219313
				biolink:Gene		ENSG00000132849
				biolink:Protein		ENSP00000360200
				biolink:Gene		ENSG00000187522
				biolink:Protein		ENSP00000367623
				biolink:Gene		ENSG00000275700
				biolink:Protein		ENSP00000477848
				biolink:Gene		ENSG00000169429
				biolink:Protein		ENSP00000306512
				biolink:Gene		ENSG00000164305
				biolink:Protein		ENSP00000311032
				biolink:Gene		ENSG00000094631
				biolink:Protein		ENSP00000334061
				biolink:Gene		ENSG00000148795
				biolink:Protein		ENSP00000358903
				biolink:Gene		ENSG00000118971
				biolink:Protein		ENSP00000261254
				biolink:Gene		ENSG00000196943
				biolink:Protein		ENSP00000267425
				biolink:Protein		ENSP00000420514
				biolink:Gene		ENSG00000069849
				biolink:Protein		ENSP00000286371
				biolink:Gene		ENSG00000206172
				biolink:Protein		ENSP00000322421
				biolink:Gene		ENSG00000100207
				biolink:Protein		ENSP00000352463
				biolink:Gene		ENSG00000135446
				biolink:Protein		ENSP00000257904
				biolink:Protein		ENSP00000377970
				biolink:Gene		ENSG00000166166
				biolink:Protein		ENSP00000374399
				biolink:Gene		ENSG00000168439
				biolink:Protein		ENSP00000351646
				biolink:Gene		ENSG00000169021
				biolink:Protein		ENSP00000306397
				biolink:Gene		ENSG00000178222
				biolink:Protein		ENSP00000389709
				biolink:Gene		ENSG00000167791
				biolink:Protein		ENSP00000294288
				biolink:Gene		ENSG00000198917
				biolink:Protein		ENSP00000354812
				biolink:Gene		ENSG00000119705
				biolink:Protein		ENSP00000450909
				biolink:Gene		ENSG00000213231
				biolink:Protein		ENSP00000343223
				biolink:Gene		ENSG00000120049
				biolink:Protein		ENSP00000420040
				biolink:Gene		ENSG00000100387
				biolink:Protein		ENSP00000216225
				biolink:Gene		ENSG00000151846
				biolink:Protein		ENSP00000281589
				biolink:Protein		ENSP00000369586
				biolink:Gene		ENSG00000187513
				biolink:Protein		ENSP00000343676
				biolink:Gene		ENSG00000160124
				biolink:Protein		ENSP00000291458
				biolink:Gene		ENSG00000167034
				biolink:Protein		ENSP00000370253
				biolink:Gene		ENSG00000253797
				biolink:Protein		ENSP00000428619
				biolink:Gene		ENSG00000116117
				biolink:Protein		ENSP00000351618
				biolink:Gene		ENSG00000124145
				biolink:Protein		ENSP00000361818
				biolink:Gene		ENSG00000278053
				biolink:Protein		ENSP00000479504
				biolink:Gene		ENSG00000112667
				biolink:Protein		ENSP00000230431
				biolink:Gene		ENSG00000132603
				biolink:Protein		ENSP00000254940
				biolink:Gene		ENSG00000158201
				biolink:Protein		ENSP00000289119
				biolink:Gene		ENSG00000126561
				biolink:Protein		ENSP00000341208
				biolink:Gene		ENSG00000120509
				biolink:Protein		ENSP00000239666
				biolink:Gene		ENSG00000099785
				biolink:Protein		ENSP00000471536
				biolink:Gene		ENSG00000147571
				biolink:Protein		ENSP00000276571
				biolink:Gene		ENSG00000166401
				biolink:Protein		ENSP00000381072
				biolink:Gene		ENSG00000170889
				biolink:Protein		ENSP00000302896
				biolink:Gene		ENSG00000119285
				biolink:Protein		ENSP00000355541
				biolink:Protein		ENSP00000382840
				biolink:Gene		ENSG00000118689
				biolink:Protein		ENSP00000385824
				biolink:Gene		ENSG00000143621
				biolink:Protein		ENSP00000355011
				biolink:Gene		ENSG00000138741
				biolink:Protein		ENSP00000368966
				biolink:Gene		ENSG00000271303
				biolink:Protein		ENSP00000371388
				biolink:Gene		ENSG00000165406
				biolink:Protein		ENSP00000411848
				biolink:Gene		ENSG00000164045
				biolink:Protein		ENSP00000303706
				biolink:Gene		ENSG00000204351
				biolink:Protein		ENSP00000364543
				biolink:Gene		ENSG00000118965
				biolink:Protein		ENSP00000314444
				biolink:Gene		ENSG00000114923
				biolink:Protein		ENSP00000273063
				biolink:Gene		ENSG00000143256
				biolink:Protein		ENSP00000356989
				biolink:Gene		ENSG00000112599
				biolink:Protein		ENSP00000230361
				biolink:Gene		ENSG00000176619
				biolink:Protein		ENSP00000327054
				biolink:Gene		ENSG00000085563
				biolink:Protein		ENSP00000478255
				biolink:Gene		ENSG00000170144
				biolink:Protein		ENSP00000376309
				biolink:Gene		ENSG00000110092
				biolink:Protein		ENSP00000227507
				biolink:Gene		ENSG00000147687
				biolink:Protein		ENSP00000276692
				biolink:Gene		ENSG00000135175
				biolink:Protein		ENSP00000257627
				biolink:Gene		ENSG00000005007
				biolink:Protein		ENSP00000470142
				biolink:Gene		ENSG00000011105
				biolink:Protein		ENSP00000011898
				biolink:Gene		ENSG00000115233
				biolink:Protein		ENSP00000386541
				biolink:Gene		ENSG00000124783
				biolink:Protein		ENSP00000244763
				biolink:Gene		ENSG00000087302
				biolink:Protein		ENSP00000261700
				biolink:Gene		ENSG00000177156
				biolink:Protein		ENSP00000321259
				biolink:Gene		ENSG00000126602
				biolink:Protein		ENSP00000246957
				biolink:Gene		ENSG00000099901
				biolink:Protein		ENSP00000401564
				biolink:Gene		ENSG00000100889
				biolink:Protein		ENSP00000216780
				biolink:Gene		ENSG00000170836
				biolink:Protein		ENSP00000306682
				biolink:Gene		ENSG00000188529
				biolink:Protein		ENSP00000420195
				biolink:Gene		ENSG00000150551
				biolink:Protein		ENSP00000380605
				biolink:Gene		ENSG00000130520
				biolink:Protein		ENSP00000469468
				biolink:Protein		ENSP00000475027
				biolink:Gene		ENSG00000143870
				biolink:Protein		ENSP00000385385
				biolink:Gene		ENSG00000041880
				biolink:Protein		ENSP00000381740
				biolink:Gene		ENSG00000130826
				biolink:Protein		ENSP00000358563
				biolink:Gene		ENSG00000025796
				biolink:Protein		ENSP00000357998
				biolink:Gene		ENSG00000055044
				biolink:Protein		ENSP00000264279
				biolink:Gene		ENSG00000241058
				biolink:Protein		ENSP00000366519
				biolink:Gene		ENSG00000166986
				biolink:Protein		ENSP00000262027
				biolink:Gene		ENSG00000100028
				biolink:Protein		ENSP00000215829
				biolink:Gene		ENSG00000119685
				biolink:Protein		ENSP00000298832
				biolink:Gene		ENSG00000123131
				biolink:Protein		ENSP00000368646
				biolink:Protein		ENSP00000363134
				biolink:Gene		ENSG00000124767
				biolink:Protein		ENSP00000362463
				biolink:Gene		ENSG00000167748
				biolink:Protein		ENSP00000301420
				biolink:Gene		ENSG00000145687
				biolink:Protein		ENSP00000483921
				biolink:Gene		ENSG00000138398
				biolink:Protein		ENSP00000260970
				biolink:Gene		ENSG00000122566
				biolink:Protein		ENSP00000346694
				biolink:Protein		ENSP00000348521
				biolink:Gene		ENSG00000066117
				biolink:Protein		ENSP00000378414
				biolink:Gene		ENSG00000153012
				biolink:Protein		ENSP00000371548
				biolink:Gene		ENSG00000095397
				biolink:Protein		ENSP00000354623
				biolink:Protein		ENSP00000419117
				biolink:Gene		ENSG00000088832
				biolink:Protein		ENSP00000383003
				biolink:Gene		ENSG00000135549
				biolink:Protein		ENSP00000480824
				biolink:Protein		ENSP00000359693
				biolink:Gene		ENSG00000143627
				biolink:Protein		ENSP00000339933
				biolink:Protein		ENSP00000433560
				biolink:Gene		ENSG00000123908
				biolink:Protein		ENSP00000220592
				biolink:Gene		ENSG00000214360
				biolink:Protein		ENSP00000381247
				biolink:Gene		ENSG00000110768
				biolink:Protein		ENSP00000265963
				biolink:Gene		ENSG00000175792
				biolink:Protein		ENSP00000318297
				biolink:Gene		ENSG00000096746
				biolink:Protein		ENSP00000265866
				biolink:Gene		ENSG00000092199
				biolink:Protein		ENSP00000451291
				biolink:Gene		ENSG00000136527
				biolink:Protein		ENSP00000416959
				biolink:Protein		ENSP00000411250
				biolink:Gene		ENSG00000204435
				biolink:Protein		ENSP00000365042
				biolink:Gene		ENSG00000115317
				biolink:Protein		ENSP00000258080
				biolink:Gene		ENSG00000164362
				biolink:Protein		ENSP00000309572
				biolink:Gene		ENSG00000136536
				biolink:Protein		ENSP00000259050
				biolink:Gene		ENSG00000084623
				biolink:Protein		ENSP00000362688
				biolink:Gene		ENSG00000161960
				biolink:Protein		ENSP00000293831
				biolink:Gene		ENSG00000134285
				biolink:Protein		ENSP00000449751
				biolink:Gene		ENSG00000108825
				biolink:Protein		ENSP00000409924
				biolink:Gene		ENSG00000204264
				biolink:Protein		ENSP00000364016
				biolink:Gene		ENSG00000131941
				biolink:Protein		ENSP00000254260
				biolink:Gene		ENSG00000254598
				biolink:Protein		ENSP00000473553
				biolink:Protein		ENSP00000416255
				biolink:Protein		ENSP00000380697
				biolink:Gene		ENSG00000101182
				biolink:Protein		ENSP00000359910
				biolink:Gene		ENSG00000100393
				biolink:Protein		ENSP00000263253
				biolink:Gene		ENSG00000174013
				biolink:Protein		ENSP00000310332
				biolink:Gene		ENSG00000115053
				biolink:Protein		ENSP00000318195
				biolink:Gene		ENSG00000122952
				biolink:Protein		ENSP00000363055
				biolink:Gene		ENSG00000189433
				biolink:Protein		ENSP00000345868
				biolink:Gene		ENSG00000100154
				biolink:Protein		ENSP00000381003
				biolink:Gene		ENSG00000138430
				biolink:Protein		ENSP00000284719
				biolink:Gene		ENSG00000078401
				biolink:Protein		ENSP00000368683
				biolink:Gene		ENSG00000185104
				biolink:Protein		ENSP00000379457
				biolink:Gene		ENSG00000126878
				biolink:Protein		ENSP00000361383
				biolink:Gene		ENSG00000117450
				biolink:Protein		ENSP00000262746
				biolink:Protein		ENSP00000357688
				biolink:Gene		ENSG00000129514
				biolink:Protein		ENSP00000250448
				biolink:Gene		ENSG00000136940
				biolink:Protein		ENSP00000259467
				biolink:Gene		ENSG00000100938
				biolink:Protein		ENSP00000454038
				biolink:Gene		ENSG00000128564
				biolink:Protein		ENSP00000249330
				biolink:Gene		ENSG00000204390
				biolink:Protein		ENSP00000364805
				biolink:Gene		ENSG00000143575
				biolink:Protein		ENSP00000329002
				biolink:Gene		ENSG00000130948
				biolink:Protein		ENSP00000364412
				biolink:Gene		ENSG00000159217
				biolink:Protein		ENSP00000290341
				biolink:Gene		ENSG00000100897
				biolink:Protein		ENSP00000415556
				biolink:Gene		ENSG00000156521
				biolink:Protein		ENSP00000287078
				biolink:Gene		ENSG00000166816
				biolink:Protein		ENSP00000300051
				biolink:Gene		ENSG00000146457
				biolink:Protein		ENSP00000351141
				biolink:Gene		ENSG00000177143
				biolink:Protein		ENSP00000319052
				biolink:Gene		ENSG00000182263
				biolink:Protein		ENSP00000333836
				biolink:Gene		ENSG00000150753
				biolink:Protein		ENSP00000280326
				biolink:Gene		ENSG00000104889
				biolink:Protein		ENSP00000221486
				biolink:Gene		ENSG00000041357
				biolink:Protein		ENSP00000044462
				biolink:Gene		ENSG00000164889
				biolink:Protein		ENSP00000419412
				biolink:Gene		ENSG00000171530
				biolink:Protein		ENSP00000306362
				biolink:Gene		ENSG00000185338
				biolink:Protein		ENSP00000329418
				biolink:Gene		ENSG00000142684
				biolink:Protein		ENSP00000363384
				biolink:Protein		ENSP00000376608
				biolink:Gene		ENSG00000164327
				biolink:Protein		ENSP00000296782
				biolink:Gene		ENSG00000139637
				biolink:Protein		ENSP00000267103
				biolink:Gene		ENSG00000119772
				biolink:Protein		ENSP00000264709
				biolink:Gene		ENSG00000055118
				biolink:Protein		ENSP00000262186
				biolink:Gene		ENSG00000104856
				biolink:Protein		ENSP00000221452
				biolink:Gene		ENSG00000110321
				biolink:Protein		ENSP00000433664
				biolink:Gene		ENSG00000140009
				biolink:Protein		ENSP00000343925
				biolink:Gene		ENSG00000153140
				biolink:Protein		ENSP00000428259
				biolink:Gene		ENSG00000135521
				biolink:Protein		ENSP00000356548
				biolink:Gene		ENSG00000100138
				biolink:Protein		ENSP00000383949
				biolink:Gene		ENSG00000198336
				biolink:Protein		ENSP00000347055
				biolink:Gene		ENSG00000142515
				biolink:Protein		ENSP00000314151
				biolink:Gene		ENSG00000133316
				biolink:Protein		ENSP00000432119
				biolink:Gene		ENSG00000278540
				biolink:Protein		ENSP00000483300
				biolink:Gene		ENSG00000135018
				biolink:Protein		ENSP00000365576
				biolink:Gene		ENSG00000183166
				biolink:Protein		ENSP00000378690
				biolink:Gene		ENSG00000188536
				biolink:Protein		ENSP00000251595
				biolink:Gene		ENSG00000167670
				biolink:Protein		ENSP00000301280
				biolink:Gene		ENSG00000099977
				biolink:Protein		ENSP00000381386
				biolink:Gene		ENSG00000107537
				biolink:Protein		ENSP00000263038
				biolink:Gene		ENSG00000204220
				biolink:Protein		ENSP00000378563
				biolink:Gene		ENSG00000172009
				biolink:Protein		ENSP00000304467
				biolink:Gene		ENSG00000090273
				biolink:Protein		ENSP00000319664
				biolink:Gene		ENSG00000053702
				biolink:Protein		ENSP00000337501
				biolink:Gene		ENSG00000141736
				biolink:Protein		ENSP00000269571
				biolink:Gene		ENSG00000065911
				biolink:Protein		ENSP00000377617
				biolink:Gene		ENSG00000133627
				biolink:Protein		ENSP00000256001
				biolink:Gene		ENSG00000174151
				biolink:Protein		ENSP00000358884
				biolink:Gene		ENSG00000168610
				biolink:Protein		ENSP00000264657
				biolink:Gene		ENSG00000075539
				biolink:Protein		ENSP00000351113
				biolink:Gene		ENSG00000221823
				biolink:Protein		ENSP00000234310
				biolink:Protein		ENSP00000478610
				biolink:Gene		ENSG00000054796
				biolink:Protein		ENSP00000360310
				biolink:Gene		ENSG00000130816
				biolink:Protein		ENSP00000352516
				biolink:Gene		ENSG00000214517
				biolink:Protein		ENSP00000381461
				biolink:Gene		ENSG00000185231
				biolink:Protein		ENSP00000333821
				biolink:Gene		ENSG00000101608
				biolink:Protein		ENSP00000217652
				biolink:Gene		ENSG00000059769
				biolink:Protein		ENSP00000320650
				biolink:Gene		ENSG00000170324
				biolink:Protein		ENSP00000363317
				biolink:Gene		ENSG00000109917
				biolink:Protein		ENSP00000227322
				biolink:Gene		ENSG00000176697
				biolink:Protein		ENSP00000414303
				biolink:Gene		ENSG00000172046
				biolink:Protein		ENSP00000401197
				biolink:Protein		ENSP00000264009
				biolink:Gene		ENSG00000185324
				biolink:Protein		ENSP00000338673
				biolink:Gene		ENSG00000174238
				biolink:Protein		ENSP00000316809
				biolink:Gene		ENSG00000135829
				biolink:Protein		ENSP00000356520
				biolink:Gene		ENSG00000087269
				biolink:Protein		ENSP00000405068
				biolink:Gene		ENSG00000089048
				biolink:Protein		ENSP00000202816
				biolink:Gene		ENSG00000112306
				biolink:Protein		ENSP00000230050
				biolink:Gene		ENSG00000132323
				biolink:Protein		ENSP00000254654
				biolink:Gene		ENSG00000113013
				biolink:Protein		ENSP00000297185
				biolink:Gene		ENSG00000115282
				biolink:Protein		ENSP00000233623
				biolink:Gene		ENSG00000160214
				biolink:Protein		ENSP00000417464
				biolink:Gene		ENSG00000102898
				biolink:Protein		ENSP00000219169
				biolink:Gene		ENSG00000157766
				biolink:Protein		ENSP00000387356
				biolink:Gene		ENSG00000015676
				biolink:Protein		ENSP00000347626
				biolink:Gene		ENSG00000111358
				biolink:Protein		ENSP00000445162
				biolink:Protein		ENSP00000438507
				biolink:Gene		ENSG00000082175
				biolink:Protein		ENSP00000325120
				biolink:Gene		ENSG00000274997
				biolink:Protein		ENSP00000366679
				biolink:Gene		ENSG00000156531
				biolink:Protein		ENSP00000329097
				biolink:Gene		ENSG00000156966
				biolink:Protein		ENSP00000287590
				biolink:Gene		ENSG00000179869
				biolink:Protein		ENSP00000411096
				biolink:Gene		ENSG00000164284
				biolink:Protein		ENSP00000329558
				biolink:Gene		ENSG00000163644
				biolink:Protein		ENSP00000477341
				biolink:Gene		ENSG00000105254
				biolink:Protein		ENSP00000221855
				biolink:Gene		ENSG00000173039
				biolink:Protein		ENSP00000384273
				biolink:Gene		ENSG00000103266
				biolink:Protein		ENSP00000219548
				biolink:Gene		ENSG00000120837
				biolink:Protein		ENSP00000240055
				biolink:Gene		ENSG00000166170
				biolink:Protein		ENSP00000338814
				biolink:Gene		ENSG00000102144
				biolink:Protein		ENSP00000362413
				biolink:Gene		ENSG00000130706
				biolink:Protein		ENSP00000478877
				biolink:Gene		ENSG00000113638
				biolink:Protein		ENSP00000338533
				biolink:Gene		ENSG00000101138
				biolink:Protein		ENSP00000217109
				biolink:Gene		ENSG00000123358
				biolink:Protein		ENSP00000440864
				biolink:Gene		ENSG00000106105
				biolink:Protein		ENSP00000373918
				biolink:Gene		ENSG00000182670
				biolink:Protein		ENSP00000381981
				biolink:Gene		ENSG00000146856
				biolink:Protein		ENSP00000388275
				biolink:Gene		ENSG00000179115
				biolink:Protein		ENSP00000320309
				biolink:Gene		ENSG00000130427
				biolink:Protein		ENSP00000252723
				biolink:Gene		ENSG00000108773
				biolink:Protein		ENSP00000225916
				biolink:Gene		ENSG00000163811
				biolink:Protein		ENSP00000384302
				biolink:Gene		ENSG00000106211
				biolink:Protein		ENSP00000248553
				biolink:Gene		ENSG00000197958
				biolink:Protein		ENSP00000354739
				biolink:Protein		ENSP00000354020
				biolink:Gene		ENSG00000206075
				biolink:Protein		ENSP00000372221
				biolink:Gene		ENSG00000115241
				biolink:Protein		ENSP00000342778
				biolink:Gene		ENSG00000043143
				biolink:Protein		ENSP00000354425
				biolink:Gene		ENSG00000114491
				biolink:Protein		ENSP00000232607
				biolink:Gene		ENSG00000134042
				biolink:Protein		ENSP00000397900
				biolink:Gene		ENSG00000068024
				biolink:Protein		ENSP00000264606
				biolink:Gene		ENSG00000086232
				biolink:Protein		ENSP00000199389
				biolink:Protein		ENSP00000390762
				biolink:Gene		ENSG00000105968
				biolink:Protein		ENSP00000308405
				biolink:Protein		ENSP00000263817
				biolink:Gene		ENSG00000243207
				biolink:Protein		ENSP00000377385
				biolink:Gene		ENSG00000144935
				biolink:Protein		ENSP00000419313
				biolink:Gene		ENSG00000145569
				biolink:Protein		ENSP00000274217
				biolink:Gene		ENSG00000140396
				biolink:Protein		ENSP00000399968
				biolink:Gene		ENSG00000163960
				biolink:Protein		ENSP00000296328
				biolink:Gene		ENSG00000055208
				biolink:Protein		ENSP00000356426
				biolink:Protein		ENSP00000234701
				biolink:Gene		ENSG00000174243
				biolink:Protein		ENSP00000310723
