				node_types		node_column
				biolink:Protein		ENSP00000355866
				biolink:Gene		ENSG00000117139
				biolink:Protein		ENSP00000356234
				biolink:Gene		ENSG00000086717
				biolink:Protein		ENSP00000354871
				biolink:Gene		ENSG00000080815
				biolink:Protein		ENSP00000326366
				biolink:Gene		ENSG00000169862
				biolink:Protein		ENSP00000307134
				biolink:Gene		ENSG00000135604
				biolink:Protein		ENSP00000356540
				biolink:Gene		ENSG00000141965
				biolink:Protein		ENSP00000269856
				biolink:Gene		ENSG00000126214
				biolink:Protein		ENSP00000414982
				biolink:Protein		ENSP00000285735
				biolink:Gene		ENSG00000263528
				biolink:Protein		ENSP00000464030
				biolink:Protein		ENSP00000404570
				biolink:Gene		ENSG00000261740
				biolink:Protein		ENSP00000458075
				biolink:Gene		ENSG00000162999
				biolink:Protein		ENSP00000346160
				biolink:Gene		ENSG00000147883
				biolink:Protein		ENSP00000276925
				biolink:Gene		ENSG00000005243
				biolink:Protein		ENSP00000480707
				biolink:Gene		ENSG00000197226
				biolink:Protein		ENSP00000349291
				biolink:Gene		ENSG00000128641
				biolink:Protein		ENSP00000376132
				biolink:Gene		ENSG00000133302
				biolink:Protein		ENSP00000265140
				biolink:Gene		ENSG00000100124
				biolink:Protein		ENSP00000215941
				biolink:Gene		ENSG00000172650
				biolink:Protein		ENSP00000363207
				biolink:Gene		ENSG00000164116
				biolink:Protein		ENSP00000296518
				biolink:Gene		ENSG00000163808
				biolink:Protein		ENSP00000324020
				biolink:Gene		ENSG00000148331
				biolink:Protein		ENSP00000277458
				biolink:Gene		ENSG00000137177
				biolink:Protein		ENSP00000259711
				biolink:Gene		ENSG00000149657
				biolink:Protein		ENSP00000279068
				biolink:Gene		ENSG00000166847
				biolink:Protein		ENSP00000300087
				biolink:Gene		ENSG00000141200
				biolink:Protein		ENSP00000268919
				biolink:Gene		ENSG00000115756
				biolink:Protein		ENSP00000483786
				biolink:Gene		ENSG00000134533
				biolink:Protein		ENSP00000256953
				biolink:Gene		ENSG00000117682
				biolink:Protein		ENSP00000353104
				biolink:Gene		ENSG00000089177
				biolink:Protein		ENSP00000384164
				biolink:Gene		ENSG00000172780
				biolink:Protein		ENSP00000319781
