Gene_A	Gene_B	Weight
ENSG00000100316	ENSG00000116698	1.4E-2
ENSG00000105372	ENSG00000116698	1.1E-2
ENSG00000105568	ENSG00000116698	9.9E-3
ENSG00000105640	ENSG00000116698	1.4E-2
ENSG00000105771	ENSG00000116698	1.8E-2
ENSG00000108107	ENSG00000116698	1.4E-2
ENSG00000108349	ENSG00000116698	1.8E-2
ENSG00000109475	ENSG00000116698	1.4E-2
ENSG00000112306	ENSG00000116698	1.1E-2
ENSG00000113575	ENSG00000116698	1.9E-2
ENSG00000114503	ENSG00000116698	7.5E-3
ENSG00000114867	ENSG00000116698	1.1E-2
ENSG00000115268	ENSG00000116698	1.1E-2
ENSG00000116251	ENSG00000116698	1.4E-2
ENSG00000100030	ENSG00000116711	4.7E-1
ENSG00000103490	ENSG00000116711	5.6E-2
ENSG00000003756	ENSG00000116754	9.9E-3
ENSG00000005075	ENSG00000116754	6.4E-3
ENSG00000011304	ENSG00000116754	9.9E-3
ENSG00000030066	ENSG00000116754	6.8E-3
ENSG00000047315	ENSG00000116754	6.4E-3
ENSG00000047410	ENSG00000116754	1.3E-2
ENSG00000060339	ENSG00000116754	9.9E-3
ENSG00000060688	ENSG00000116754	9.9E-3
ENSG00000063244	ENSG00000116754	8.6E-3
ENSG00000065978	ENSG00000116754	9.9E-3
ENSG00000069248	ENSG00000116754	6.8E-3
ENSG00000071894	ENSG00000116754	8.5E-3
ENSG00000072501	ENSG00000116754	7E-3
ENSG00000077312	ENSG00000116754	1.1E-2
ENSG00000087365	ENSG00000116754	9.9E-3
ENSG00000090060	ENSG00000116754	1E-2
ENSG00000092199	ENSG00000116754	9.9E-3
ENSG00000093000	ENSG00000116754	1.1E-2
ENSG00000094914	ENSG00000116754	1.1E-2
ENSG00000095319	ENSG00000116754	1.2E-2
ENSG00000099783	ENSG00000116754	9.9E-3
ENSG00000099817	ENSG00000116754	5.3E-3
ENSG00000099995	ENSG00000116754	9.9E-3
ENSG00000100138	ENSG00000116754	9.9E-3
ENSG00000100410	ENSG00000116754	9.9E-3
ENSG00000100650	ENSG00000116754	8.5E-3
ENSG00000100836	ENSG00000116754	1E-2
ENSG00000101138	ENSG00000116754	9.9E-3
ENSG00000101161	ENSG00000116754	9.9E-3
ENSG00000101811	ENSG00000116754	9.9E-3
ENSG00000102900	ENSG00000116754	1.3E-2
ENSG00000102978	ENSG00000116754	6.4E-3
ENSG00000282947	ENSG00000116754	9.9E-3
ENSG00000104852	ENSG00000116754	1.1E-2
ENSG00000104897	ENSG00000116754	9.9E-3
ENSG00000105258	ENSG00000116754	6.4E-3
ENSG00000105323	ENSG00000116754	9.9E-3
ENSG00000105705	ENSG00000116754	9.9E-3
ENSG00000108559	ENSG00000116754	1.1E-2
ENSG00000108883	ENSG00000116754	9.9E-3
ENSG00000111581	ENSG00000116754	7.3E-3
ENSG00000111786	ENSG00000116754	8.1E-3
ENSG00000114503	ENSG00000116754	5.1E-3
ENSG00000115524	ENSG00000116754	9.9E-3
ENSG00000115875	ENSG00000116754	8.6E-3
ENSG00000116350	ENSG00000116754	8.4E-3
ENSG00000116815	ENSG00000116824	1E0
ENSG00000090372	ENSG00000116874	1.1E-1
ENSG00000070367	ENSG00000116903	5E-1
ENSG00000112685	ENSG00000116903	5E-1
ENSG00000018510	ENSG00000116906	1E0
ENSG00000105254	ENSG00000282984	6.6E-1
ENSG00000073578	ENSG00000117118	3.3E-1
ENSG00000002822	ENSG00000117399	1.1E-2
ENSG00000004897	ENSG00000117399	1.4E-2
ENSG00000007168	ENSG00000117399	7.3E-3
ENSG00000030066	ENSG00000117399	7.1E-3
ENSG00000031691	ENSG00000117399	9.8E-3
ENSG00000040275	ENSG00000117399	1.1E-2
ENSG00000053900	ENSG00000117399	1.2E-2
ENSG00000068796	ENSG00000117399	1.1E-2
ENSG00000069248	ENSG00000117399	7.1E-3
ENSG00000072401	ENSG00000117399	1.1E-2
ENSG00000275911	ENSG00000117399	7.1E-3
ENSG00000074054	ENSG00000117399	7.1E-3
ENSG00000075188	ENSG00000117399	7.8E-3
ENSG00000080986	ENSG00000117399	1.2E-2
ENSG00000082898	ENSG00000117399	8.7E-3
ENSG00000086827	ENSG00000117399	1.1E-2
ENSG00000089053	ENSG00000117399	1.2E-2
ENSG00000089685	ENSG00000117399	1.2E-2
ENSG00000090273	ENSG00000117399	1.2E-2
ENSG00000094880	ENSG00000117399	1.4E-2
ENSG00000100162	ENSG00000117399	1.1E-2
ENSG00000100401	ENSG00000117399	1.2E-2
ENSG00000101367	ENSG00000117399	7.1E-3
ENSG00000102384	ENSG00000117399	9.8E-3
ENSG00000102901	ENSG00000117399	1.1E-2
ENSG00000111581	ENSG00000117399	7.6E-3
ENSG00000112029	ENSG00000117399	1.7E-1
ENSG00000115163	ENSG00000117399	9.8E-3
ENSG00000090534	ENSG00000117400	1E0
ENSG00000047249	ENSG00000117410	1.5E-1
ENSG00000100554	ENSG00000117410	2.1E-1
ENSG00000114573	ENSG00000117410	2.1E-1
ENSG00000003436	ENSG00000117525	3E-1
ENSG00000057593	ENSG00000117525	2.6E-1
ENSG00000101981	ENSG00000117525	1.7E-1
ENSG00000103490	ENSG00000117525	2.3E-2
ENSG00000090372	ENSG00000117593	1.1E-1
ENSG00000103490	ENSG00000117601	5.9E-2
ENSG00000004897	ENSG00000117650	1.6E-2
ENSG00000005249	ENSG00000117650	1.3E-2
ENSG00000007168	ENSG00000117650	7.9E-3
ENSG00000037042	ENSG00000117650	1.3E-2
ENSG00000046651	ENSG00000117650	1.3E-2
ENSG00000053900	ENSG00000117650	1.3E-2
ENSG00000276111	ENSG00000117650	1.3E-2
ENSG00000072062	ENSG00000117650	1.3E-2
ENSG00000072401	ENSG00000117650	1.2E-2
ENSG00000275911	ENSG00000117650	7.7E-3
ENSG00000074054	ENSG00000117650	7.7E-3
ENSG00000077380	ENSG00000117650	1.3E-2
ENSG00000078674	ENSG00000117650	1.3E-2
ENSG00000080824	ENSG00000117650	1.2E-2
ENSG00000088986	ENSG00000117650	1.3E-2
ENSG00000089053	ENSG00000117650	1.3E-2
ENSG00000094880	ENSG00000117650	1.6E-2
ENSG00000101004	ENSG00000117650	1.3E-2
ENSG00000101367	ENSG00000117650	7.7E-3
ENSG00000101624	ENSG00000117650	1.3E-2
ENSG00000101639	ENSG00000117650	1.3E-2
ENSG00000103540	ENSG00000117650	1.3E-2
ENSG00000103995	ENSG00000117650	1.3E-2
ENSG00000104833	ENSG00000117650	1.3E-2
ENSG00000105568	ENSG00000117650	7.6E-3
ENSG00000106477	ENSG00000117650	1.3E-2
ENSG00000274474	ENSG00000117650	1.3E-2
ENSG00000110274	ENSG00000117650	1.3E-2
ENSG00000280688	ENSG00000117650	1.3E-2
ENSG00000114107	ENSG00000117650	1.3E-2
ENSG00000116127	ENSG00000117650	1.3E-2
ENSG00000117399	ENSG00000117650	1E-2
ENSG00000002822	ENSG00000117697	1.4E-2
ENSG00000007168	ENSG00000117697	9.1E-3
ENSG00000030066	ENSG00000117697	8.9E-3
ENSG00000031691	ENSG00000117697	1.2E-2
ENSG00000040275	ENSG00000117697	1.4E-2
ENSG00000068796	ENSG00000117697	1.4E-2
ENSG00000069248	ENSG00000117697	8.9E-3
ENSG00000275911	ENSG00000117697	8.9E-3
ENSG00000074054	ENSG00000117697	8.9E-3
ENSG00000075188	ENSG00000117697	9.8E-3
ENSG00000080986	ENSG00000117697	1.5E-2
ENSG00000082898	ENSG00000117697	1.1E-2
ENSG00000086827	ENSG00000117697	1.4E-2
ENSG00000089685	ENSG00000117697	1.5E-2
ENSG00000090273	ENSG00000117697	1.5E-2
ENSG00000100162	ENSG00000117697	1.4E-2
ENSG00000100401	ENSG00000117697	1.5E-2
ENSG00000101367	ENSG00000117697	8.9E-3
ENSG00000102384	ENSG00000117697	1.2E-2
ENSG00000102901	ENSG00000117697	1.4E-2
ENSG00000111581	ENSG00000117697	9.5E-3
ENSG00000115163	ENSG00000117697	1.2E-2
ENSG00000117399	ENSG00000117697	1.1E-2
ENSG00000002822	ENSG00000117724	1.4E-2
ENSG00000007168	ENSG00000117724	9.1E-3
ENSG00000030066	ENSG00000117724	8.9E-3
ENSG00000031691	ENSG00000117724	1.2E-2
ENSG00000040275	ENSG00000117724	1.4E-2
ENSG00000068796	ENSG00000117724	1.4E-2
ENSG00000069248	ENSG00000117724	8.9E-3
ENSG00000275911	ENSG00000117724	8.9E-3
ENSG00000074054	ENSG00000117724	8.9E-3
ENSG00000075188	ENSG00000117724	9.8E-3
ENSG00000080986	ENSG00000117724	1.5E-2
ENSG00000082898	ENSG00000117724	1.1E-2
ENSG00000086827	ENSG00000117724	1.4E-2
ENSG00000089685	ENSG00000117724	1.5E-2
ENSG00000090273	ENSG00000117724	1.5E-2
ENSG00000100162	ENSG00000117724	1.4E-2
ENSG00000100401	ENSG00000117724	1.5E-2
ENSG00000101367	ENSG00000117724	8.9E-3
ENSG00000102384	ENSG00000117724	1.2E-2
ENSG00000102901	ENSG00000117724	1.4E-2
ENSG00000111581	ENSG00000117724	9.5E-3
ENSG00000115163	ENSG00000117724	1.2E-2
ENSG00000117399	ENSG00000117724	1.1E-2
ENSG00000117697	ENSG00000117724	1.4E-2
ENSG00000002016	ENSG00000117748	8.4E-2
ENSG00000006634	ENSG00000117748	1.8E-2
ENSG00000012048	ENSG00000117748	1.9E-2
ENSG00000012061	ENSG00000117748	1.9E-2
ENSG00000014138	ENSG00000117748	1.4E-2
ENSG00000020426	ENSG00000117748	8.9E-3
ENSG00000035928	ENSG00000117748	2.5E-2
ENSG00000051180	ENSG00000117748	2.7E-2
ENSG00000057468	ENSG00000117748	3.3E-2
ENSG00000062822	ENSG00000117748	2.6E-2
ENSG00000065328	ENSG00000117748	1.7E-2
ENSG00000073111	ENSG00000117748	1.6E-2
ENSG00000076003	ENSG00000117748	1.6E-2
ENSG00000076242	ENSG00000117748	3.8E-2
ENSG00000077514	ENSG00000117748	1.9E-2
ENSG00000085840	ENSG00000117748	1.7E-2
ENSG00000091651	ENSG00000117748	1.7E-2
ENSG00000093009	ENSG00000117748	1.6E-2
ENSG00000097046	ENSG00000117748	1.8E-2
ENSG00000100206	ENSG00000117748	2.5E-2
ENSG00000100297	ENSG00000117748	1.6E-2
ENSG00000100479	ENSG00000117748	1.6E-2
ENSG00000101868	ENSG00000117748	1.4E-2
ENSG00000104738	ENSG00000117748	1.6E-2
ENSG00000104884	ENSG00000117748	8.8E-3
ENSG00000106399	ENSG00000117748	7.6E-3
ENSG00000106628	ENSG00000117748	1.9E-2
ENSG00000108384	ENSG00000117748	3.1E-2
ENSG00000110768	ENSG00000117748	8.9E-3
ENSG00000111358	ENSG00000117748	8.8E-3
ENSG00000112118	ENSG00000117748	1.6E-2
ENSG00000115942	ENSG00000117748	1.7E-2
ENSG00000115947	ENSG00000117748	1.7E-2
ENSG00000012048	ENSG00000118007	3.3E-2
ENSG00000054654	ENSG00000118007	3.8E-2
ENSG00000066923	ENSG00000118007	2.7E-2
ENSG00000072501	ENSG00000118007	1.3E-2
ENSG00000077800	ENSG00000118007	4.6E-2
ENSG00000077935	ENSG00000118007	2.7E-2
ENSG00000092330	ENSG00000118007	4.3E-2
ENSG00000100242	ENSG00000118007	3.8E-2
ENSG00000100918	ENSG00000118007	2.7E-2
ENSG00000101972	ENSG00000118007	2.7E-2
ENSG00000102977	ENSG00000118007	4.3E-2
ENSG00000103275	ENSG00000118007	4.6E-2
ENSG00000108055	ENSG00000118007	2.7E-2
ENSG00000113368	ENSG00000118007	3.8E-2
ENSG00000106617	ENSG00000118046	3.5E-1
ENSG00000064687	ENSG00000118137	3.3E-1
ENSG00000070761	ENSG00000118137	9E-3
ENSG00000084674	ENSG00000118137	2.7E-2
ENSG00000087237	ENSG00000118137	1.9E-1
ENSG00000107611	ENSG00000118137	5.7E-2
ENSG00000110243	ENSG00000118137	6.6E-2
ENSG00000110244	ENSG00000118137	4.5E-2
ENSG00000110245	ENSG00000118137	6.2E-2
ENSG00000012174	ENSG00000118217	6.2E-1
ENSG00000044574	ENSG00000118217	2.2E-1
ENSG00000091129	ENSG00000118257	7E-1
ENSG00000103490	ENSG00000118260	2.6E-2
ENSG00000114902	ENSG00000118363	2.2E-1
ENSG00000115263	ENSG00000118363	6.1E-2
ENSG00000106052	ENSG00000118503	1E0
ENSG00000092531	ENSG00000118640	3.8E-1
ENSG00000103496	ENSG00000118640	4.4E-1
ENSG00000106128	ENSG00000118702	1E0
ENSG00000037241	ENSG00000118705	1.3E-2
ENSG00000063177	ENSG00000118705	1.3E-2
ENSG00000067167	ENSG00000118705	1.7E-2
ENSG00000083845	ENSG00000118705	1E-2
ENSG00000089009	ENSG00000118705	1.3E-2
ENSG00000089157	ENSG00000118705	1.3E-2
ENSG00000100316	ENSG00000118705	1.3E-2
ENSG00000104723	ENSG00000118705	6.5E-2
ENSG00000105372	ENSG00000118705	1E-2
ENSG00000105640	ENSG00000118705	1.3E-2
ENSG00000106803	ENSG00000118705	1.7E-2
ENSG00000108107	ENSG00000118705	1.3E-2
ENSG00000109475	ENSG00000118705	1.3E-2
ENSG00000112306	ENSG00000118705	1E-2
ENSG00000112796	ENSG00000118705	3.7E-2
ENSG00000114850	ENSG00000118705	1.7E-2
ENSG00000115268	ENSG00000118705	1E-2
ENSG00000116251	ENSG00000118705	1.3E-2
ENSG00000004779	ENSG00000119013	2.3E-2
ENSG00000283447	ENSG00000119013	2.3E-2
ENSG00000065518	ENSG00000119013	2.3E-2
ENSG00000090266	ENSG00000119013	2.3E-2
ENSG00000099795	ENSG00000119013	2.3E-2
ENSG00000109390	ENSG00000119013	2.3E-2
ENSG00000110717	ENSG00000119013	2.3E-2
ENSG00000115286	ENSG00000119013	2.3E-2
ENSG00000013503	ENSG00000119041	4.4E-2
ENSG00000058600	ENSG00000119041	4.4E-2
ENSG00000061337	ENSG00000119041	4.4E-2
ENSG00000077235	ENSG00000119041	7.3E-2
ENSG00000099817	ENSG00000119041	1.6E-2
ENSG00000100413	ENSG00000119041	4.4E-2
ENSG00000112592	ENSG00000119041	3.2E-2
ENSG00000115207	ENSG00000119041	7.3E-2
ENSG00000070761	ENSG00000119125	1.6E-1
ENSG00000003756	ENSG00000119203	1E-2
ENSG00000005075	ENSG00000119203	6.7E-3
ENSG00000011304	ENSG00000119203	1E-2
ENSG00000030066	ENSG00000119203	7.1E-3
ENSG00000047315	ENSG00000119203	6.7E-3
ENSG00000060339	ENSG00000119203	1E-2
ENSG00000060688	ENSG00000119203	1E-2
ENSG00000063244	ENSG00000119203	9E-3
ENSG00000065978	ENSG00000119203	1E-2
ENSG00000069248	ENSG00000119203	7.1E-3
ENSG00000071894	ENSG00000119203	8.8E-3
ENSG00000072501	ENSG00000119203	7.2E-3
ENSG00000087365	ENSG00000119203	1E-2
ENSG00000090060	ENSG00000119203	1E-2
ENSG00000092199	ENSG00000119203	1E-2
ENSG00000093000	ENSG00000119203	1.2E-2
ENSG00000094914	ENSG00000119203	1.2E-2
ENSG00000095319	ENSG00000119203	1.2E-2
ENSG00000099783	ENSG00000119203	1E-2
ENSG00000099817	ENSG00000119203	5.5E-3
ENSG00000099995	ENSG00000119203	1E-2
ENSG00000100138	ENSG00000119203	1E-2
ENSG00000100410	ENSG00000119203	1E-2
ENSG00000100650	ENSG00000119203	8.8E-3
ENSG00000100836	ENSG00000119203	1E-2
ENSG00000101138	ENSG00000119203	1E-2
ENSG00000101161	ENSG00000119203	1E-2
ENSG00000101811	ENSG00000119203	1E-2
ENSG00000102978	ENSG00000119203	6.7E-3
ENSG00000282947	ENSG00000119203	1E-2
ENSG00000104897	ENSG00000119203	1E-2
ENSG00000105258	ENSG00000119203	6.7E-3
ENSG00000105323	ENSG00000119203	1E-2
ENSG00000105705	ENSG00000119203	1E-2
ENSG00000108559	ENSG00000119203	1.2E-2
ENSG00000108883	ENSG00000119203	1E-2
ENSG00000111786	ENSG00000119203	8.5E-3
ENSG00000114503	ENSG00000119203	5.3E-3
ENSG00000115524	ENSG00000119203	1E-2
ENSG00000115875	ENSG00000119203	9E-3
ENSG00000116350	ENSG00000119203	8.8E-3
ENSG00000116754	ENSG00000119203	8.8E-3
ENSG00000012061	ENSG00000119318	5.7E-2
ENSG00000020426	ENSG00000119318	2.7E-2
ENSG00000104884	ENSG00000119318	2.7E-2
ENSG00000106399	ENSG00000119318	2.3E-2
ENSG00000110768	ENSG00000119318	2.7E-2
ENSG00000111358	ENSG00000119318	2.7E-2
ENSG00000117748	ENSG00000119318	2.7E-2
ENSG00000082898	ENSG00000119335	5.8E-2
ENSG00000005249	ENSG00000119397	1.6E-2
ENSG00000007168	ENSG00000119397	9.6E-3
ENSG00000037042	ENSG00000119397	1.5E-2
ENSG00000046651	ENSG00000119397	1.6E-2
ENSG00000276111	ENSG00000119397	1.6E-2
ENSG00000072062	ENSG00000119397	1.6E-2
ENSG00000275911	ENSG00000119397	9.3E-3
ENSG00000074054	ENSG00000119397	9.3E-3
ENSG00000077380	ENSG00000119397	1.6E-2
ENSG00000078674	ENSG00000119397	1.6E-2
ENSG00000080824	ENSG00000119397	1.5E-2
ENSG00000088986	ENSG00000119397	1.6E-2
ENSG00000101004	ENSG00000119397	1.6E-2
ENSG00000101367	ENSG00000119397	9.3E-3
ENSG00000101624	ENSG00000119397	1.6E-2
ENSG00000101639	ENSG00000119397	1.6E-2
ENSG00000103540	ENSG00000119397	1.6E-2
ENSG00000103995	ENSG00000119397	1.6E-2
ENSG00000104833	ENSG00000119397	1.6E-2
ENSG00000105568	ENSG00000119397	9.1E-3
ENSG00000106477	ENSG00000119397	1.6E-2
ENSG00000274474	ENSG00000119397	1.6E-2
ENSG00000110274	ENSG00000119397	1.6E-2
ENSG00000280688	ENSG00000119397	1.6E-2
ENSG00000114107	ENSG00000119397	1.6E-2
ENSG00000116127	ENSG00000119397	1.6E-2
ENSG00000117650	ENSG00000119397	1.3E-2
ENSG00000004779	ENSG00000119421	2.3E-2
ENSG00000283447	ENSG00000119421	2.3E-2
ENSG00000065518	ENSG00000119421	2.3E-2
ENSG00000090266	ENSG00000119421	2.3E-2
ENSG00000099795	ENSG00000119421	2.3E-2
ENSG00000109390	ENSG00000119421	2.3E-2
ENSG00000110717	ENSG00000119421	2.3E-2
ENSG00000115286	ENSG00000119421	2.3E-2
ENSG00000119013	ENSG00000119421	2.3E-2
ENSG00000009844	ENSG00000119541	1.9E-1
ENSG00000086065	ENSG00000119541	1.9E-1
ENSG00000115561	ENSG00000119541	1.8E-1
ENSG00000076242	ENSG00000119684	1.5E-1
ENSG00000106399	ENSG00000119684	2.9E-2
ENSG00000117748	ENSG00000119684	3.4E-2
ENSG00000091140	ENSG00000119689	2E-1
ENSG00000105953	ENSG00000119689	6.8E-1
ENSG00000070785	ENSG00000119718	1.9E-1
ENSG00000111361	ENSG00000119718	1.9E-1
ENSG00000115211	ENSG00000119718	1.9E-1
ENSG00000068079	ENSG00000119917	5.9E-2
ENSG00000068745	ENSG00000119917	5.9E-2
ENSG00000068079	ENSG00000119922	5.9E-2
ENSG00000068745	ENSG00000119922	5.9E-2
ENSG00000071677	ENSG00000119973	1E0
ENSG00000006638	ENSG00000120063	5.1E-1
ENSG00000078369	ENSG00000120063	1.4E-1
ENSG00000101280	ENSG00000120156	7.1E-1
ENSG00000115904	ENSG00000120156	1.3E-1
ENSG00000104325	ENSG00000120217	3.5E-1
ENSG00000276482	ENSG00000120217	3.3E-1
ENSG00000002822	ENSG00000120253	8.9E-3
ENSG00000007168	ENSG00000120253	5.6E-3
ENSG00000030066	ENSG00000120253	5.5E-3
ENSG00000031691	ENSG00000120253	7.6E-3
ENSG00000040275	ENSG00000120253	8.9E-3
ENSG00000047410	ENSG00000120253	1E-2
ENSG00000063244	ENSG00000120253	7E-3
ENSG00000064703	ENSG00000120253	1.4E-2
ENSG00000068796	ENSG00000120253	8.9E-3
ENSG00000069248	ENSG00000120253	5.5E-3
ENSG00000071894	ENSG00000120253	6.9E-3
ENSG00000275911	ENSG00000120253	5.5E-3
ENSG00000074054	ENSG00000120253	5.5E-3
ENSG00000075188	ENSG00000120253	6.1E-3
ENSG00000080986	ENSG00000120253	9E-3
ENSG00000082516	ENSG00000120253	1.2E-2
ENSG00000082898	ENSG00000120253	6.7E-3
ENSG00000084734	ENSG00000120253	2E-2
ENSG00000086827	ENSG00000120253	8.9E-3
ENSG00000089685	ENSG00000120253	9.3E-3
ENSG00000090273	ENSG00000120253	9E-3
ENSG00000093000	ENSG00000120253	9E-3
ENSG00000094914	ENSG00000120253	9E-3
ENSG00000095319	ENSG00000120253	9.3E-3
ENSG00000100162	ENSG00000120253	8.9E-3
ENSG00000100401	ENSG00000120253	9E-3
ENSG00000100650	ENSG00000120253	6.8E-3
ENSG00000101146	ENSG00000120253	1.1E-2
ENSG00000101367	ENSG00000120253	5.5E-3
ENSG00000102384	ENSG00000120253	7.6E-3
ENSG00000102900	ENSG00000120253	1E-2
ENSG00000102901	ENSG00000120253	8.9E-3
ENSG00000106633	ENSG00000120253	1.7E-2
ENSG00000108424	ENSG00000120253	1.5E-2
ENSG00000108559	ENSG00000120253	9E-3
ENSG00000111581	ENSG00000120253	5.9E-3
ENSG00000111786	ENSG00000120253	6.6E-3
ENSG00000113569	ENSG00000120253	1.1E-2
ENSG00000114030	ENSG00000120253	1.8E-2
ENSG00000114503	ENSG00000120253	4.1E-3
ENSG00000115163	ENSG00000120253	7.6E-3
ENSG00000115641	ENSG00000120253	1.4E-2
ENSG00000115875	ENSG00000120253	7E-3
ENSG00000116350	ENSG00000120253	6.8E-3
ENSG00000116754	ENSG00000120253	6.8E-3
ENSG00000117399	ENSG00000120253	7.1E-3
ENSG00000117697	ENSG00000120253	8.9E-3
ENSG00000117724	ENSG00000120253	8.9E-3
ENSG00000119203	ENSG00000120253	7.1E-3
ENSG00000002822	ENSG00000120334	1.4E-2
ENSG00000007168	ENSG00000120334	9.1E-3
ENSG00000030066	ENSG00000120334	8.9E-3
ENSG00000031691	ENSG00000120334	1.2E-2
ENSG00000040275	ENSG00000120334	1.4E-2
ENSG00000068796	ENSG00000120334	1.4E-2
ENSG00000069248	ENSG00000120334	8.9E-3
ENSG00000275911	ENSG00000120334	8.9E-3
ENSG00000074054	ENSG00000120334	8.9E-3
ENSG00000075188	ENSG00000120334	9.8E-3
ENSG00000080986	ENSG00000120334	1.5E-2
ENSG00000082898	ENSG00000120334	1.1E-2
ENSG00000086827	ENSG00000120334	1.4E-2
ENSG00000089685	ENSG00000120334	1.5E-2
ENSG00000090273	ENSG00000120334	1.5E-2
ENSG00000100162	ENSG00000120334	1.4E-2
ENSG00000100401	ENSG00000120334	1.5E-2
ENSG00000101367	ENSG00000120334	8.9E-3
ENSG00000102384	ENSG00000120334	1.2E-2
ENSG00000102901	ENSG00000120334	1.4E-2
ENSG00000111581	ENSG00000120334	9.5E-3
ENSG00000115163	ENSG00000120334	1.2E-2
ENSG00000117399	ENSG00000120334	1.1E-2
ENSG00000117697	ENSG00000120334	1.4E-2
ENSG00000117724	ENSG00000120334	1.4E-2
ENSG00000120253	ENSG00000120334	8.9E-3
ENSG00000075624	ENSG00000120438	1E-1
ENSG00000101132	ENSG00000120438	7E-2
ENSG00000113068	ENSG00000120438	7E-2
ENSG00000115484	ENSG00000120438	6.2E-2
ENSG00000005075	ENSG00000120656	1.4E-2
ENSG00000020426	ENSG00000120656	1.9E-2
ENSG00000047315	ENSG00000120656	1.4E-2
ENSG00000064995	ENSG00000120656	3.9E-2
ENSG00000090372	ENSG00000120656	6.6E-3
ENSG00000099817	ENSG00000120656	1.2E-2
ENSG00000102978	ENSG00000120656	1.4E-2
ENSG00000104884	ENSG00000120656	1.9E-2
ENSG00000105258	ENSG00000120656	1.4E-2
ENSG00000106290	ENSG00000120656	3.9E-2
ENSG00000110768	ENSG00000120656	1.9E-2
ENSG00000111358	ENSG00000120656	1.9E-2
ENSG00000112592	ENSG00000120656	2.4E-2
ENSG00000006071	ENSG00000120675	1.3E-1
ENSG00000069431	ENSG00000120675	3.2E-1
ENSG00000089041	ENSG00000120675	1.4E-1
ENSG00000103490	ENSG00000120675	7.8E-3
ENSG00000104783	ENSG00000120675	3.2E-1
ENSG00000075914	ENSG00000120699	5.9E-2
ENSG00000077348	ENSG00000120699	5.9E-2
ENSG00000083312	ENSG00000120699	5.7E-2
ENSG00000083520	ENSG00000120699	5.9E-2
ENSG00000088247	ENSG00000120699	6.7E-2
ENSG00000107371	ENSG00000120699	5.9E-2
ENSG00000114127	ENSG00000120699	5.2E-2
ENSG00000005007	ENSG00000120705	1.8E-2
ENSG00000037241	ENSG00000120705	1.3E-2
ENSG00000063177	ENSG00000120705	1.4E-2
ENSG00000070366	ENSG00000120705	1.8E-2
ENSG00000070756	ENSG00000120705	1.2E-2
ENSG00000083845	ENSG00000120705	1.1E-2
ENSG00000089009	ENSG00000120705	1.4E-2
ENSG00000089157	ENSG00000120705	1.4E-2
ENSG00000100316	ENSG00000120705	1.3E-2
ENSG00000105372	ENSG00000120705	1.1E-2
ENSG00000105568	ENSG00000120705	9.8E-3
ENSG00000105640	ENSG00000120705	1.4E-2
ENSG00000105771	ENSG00000120705	1.8E-2
ENSG00000108107	ENSG00000120705	1.4E-2
ENSG00000108349	ENSG00000120705	1.8E-2
ENSG00000109475	ENSG00000120705	1.3E-2
ENSG00000112306	ENSG00000120705	1.1E-2
ENSG00000113575	ENSG00000120705	1.9E-2
ENSG00000114503	ENSG00000120705	7.4E-3
ENSG00000114867	ENSG00000120705	1.1E-2
ENSG00000115268	ENSG00000120705	1.1E-2
ENSG00000116251	ENSG00000120705	1.3E-2
ENSG00000116698	ENSG00000120705	1.8E-2
ENSG00000068079	ENSG00000120738	5.4E-2
ENSG00000068745	ENSG00000120738	5.4E-2
ENSG00000119917	ENSG00000120738	5.9E-2
ENSG00000119922	ENSG00000120738	5.9E-2
ENSG00000003400	ENSG00000120889	5.4E-1
ENSG00000064012	ENSG00000120889	2.3E-1
ENSG00000035403	ENSG00000120896	1.2E-1
ENSG00000082781	ENSG00000120896	1.1E-1
ENSG00000089159	ENSG00000120896	9.6E-2
ENSG00000095637	ENSG00000120896	1.1E-1
ENSG00000103490	ENSG00000120896	1.5E-2
ENSG00000002330	ENSG00000120910	3.5E-1
ENSG00000070761	ENSG00000120992	7.1E-2
ENSG00000012048	ENSG00000121211	6.9E-2
ENSG00000051180	ENSG00000121211	9.9E-2
ENSG00000100206	ENSG00000121211	9.3E-2
ENSG00000106399	ENSG00000121211	2.8E-2
ENSG00000117748	ENSG00000121211	3.3E-2
ENSG00000002822	ENSG00000121621	1.4E-2
ENSG00000007168	ENSG00000121621	9.1E-3
ENSG00000030066	ENSG00000121621	8.9E-3
ENSG00000031691	ENSG00000121621	1.2E-2
ENSG00000040275	ENSG00000121621	1.4E-2
ENSG00000068796	ENSG00000121621	1.4E-2
ENSG00000069248	ENSG00000121621	8.9E-3
ENSG00000275911	ENSG00000121621	8.9E-3
ENSG00000074054	ENSG00000121621	8.9E-3
ENSG00000075188	ENSG00000121621	9.8E-3
ENSG00000080986	ENSG00000121621	1.5E-2
ENSG00000082898	ENSG00000121621	1.1E-2
ENSG00000086827	ENSG00000121621	1.4E-2
ENSG00000089685	ENSG00000121621	1.5E-2
ENSG00000090273	ENSG00000121621	1.5E-2
ENSG00000100162	ENSG00000121621	1.4E-2
ENSG00000100401	ENSG00000121621	1.5E-2
ENSG00000101367	ENSG00000121621	8.9E-3
ENSG00000102384	ENSG00000121621	1.2E-2
ENSG00000102901	ENSG00000121621	1.4E-2
ENSG00000111581	ENSG00000121621	9.5E-3
ENSG00000115163	ENSG00000121621	1.2E-2
ENSG00000117399	ENSG00000121621	1.1E-2
ENSG00000117697	ENSG00000121621	1.4E-2
